Diện tích sử dụng,Mã BĐS,price,Pháp lý,Ngày đăng,Nhà tắm,Phòng ngủ,address,Diện tích đất
65 m2,22710882,5 tỷ 950 triệu,Sổ đỏ,15/10/2025,1,2,"Linh Lang, Phường Cống Vị, Quận Ba Đình, Hà Nội",
42 m2,22712101,12 tỷ 100 triệu,Sổ đỏ,15/10/2025,3,3,"Lý Thường Kiệt, Phường La Khê, Quận Hà Đông, Hà Nội","43 m2(4,5x9,5)"
75 m2,22706780,5 tỷ 800 triệu,Sổ đỏ,15/10/2025,1,2,"Võ Thị Sáu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",
120 m2,22707230,4 tỷ 149 triệu,Sổ đỏ,15/10/2025,2,3,"Trần Quốc Hoàn, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",
40 m2,22707231,3 tỷ 890 triệu,Sổ đỏ,15/10/2025,1,2,"Trần Phú, Phường Điện Biên, Quận Ba Đình, Hà Nội",
70 m2,22707233,3 tỷ 229 triệu,Sổ đỏ,15/10/2025,2,3,"Ngõ Xã Đàn, Phường Quốc Tử Giám, Quận Đống Đa, Hà Nội",
50 m2,22707234,2 tỷ 850 triệu,Sổ đỏ,15/10/2025,1,2,"Thọ Lão, Phường Đồng Nhân, Quận Hai Bà Trưng, Hà Nội",
600 m2,21721450,30 tỷ,Sổ đỏ,15/10/2025,6,6,"Nguyễn Văn Huyên, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",115 m2(7x15)
50 m2,22707236,2 tỷ 730 triệu,Sổ đỏ,15/10/2025,1,2,"Nguyễn Trãi, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội",
80 m2,22708774,4 tỷ 490 triệu,Sổ đỏ,15/10/2025,1,3,"Nghĩa Tân, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",
420 m2,21719828,29 tỷ,Sổ đỏ,15/10/2025,5,5,"Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội",70 m2(5x14)
80 m2,22708775,3 tỷ 890 triệu,Sổ đỏ,15/10/2025,2,3,"Nghĩa Tân, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",
290 m2,21814181,13 tỷ,Sổ đỏ,15/10/2025,6,5,"Trần Quý Kiên, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",62 m2(5x12)
70 m2,22708779,5 tỷ 580 triệu,Sổ đỏ,15/10/2025,1,2,"Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội",
840 m2,22245767,45 tỷ,Sổ đỏ,15/10/2025,8,8,"Vệ Hồ, Phường Xuân La, Quận Tây Hồ, Hà Nội",120 m2(6x20)
22 m2,22708777,5 tỷ 750 triệu,Sổ đỏ,15/10/2025,4,4,"Hàng Đậu, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội","22 m2(3x7,3)"
900 m2,22522749,64 tỷ,Sổ đỏ,15/10/2025,5,5,"Trần Cung, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",300 m2(14x20)
80 m2,22708780,4 tỷ 750 triệu,Sổ đỏ,15/10/2025,1,3,"Ngọc Khánh, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",
249 m2,22517713,9 tỷ,Sổ đỏ,15/10/2025,4,4,"Ngọc Hà, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",50 m2(5x10)
90 m2,22708783,5 tỷ 299 triệu,Sổ đỏ,15/10/2025,2,3,"Cát Linh, Phường Cát Linh, Quận Đống Đa, Hà Nội",
900 m2,22520883,64 tỷ,Sổ đỏ,15/10/2025,4,4,"Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội",300 m2(15x20)
120 m2,22708786,4 tỷ 350 triệu,Sổ đỏ,15/10/2025,2,3,"Thành Công, Phường Thành Công, Quận Ba Đình, Hà Nội",
439 m2,22517731,25 tỷ,Sổ đỏ,15/10/2025,4,4,"Xuân Diệu, Phường Quảng An, Quận Tây Hồ, Hà Nội",110 m2(6x17)
75 m2,22708833,5 tỷ 500 triệu,Sổ đỏ,15/10/2025,1,2,"Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",
300 m2,22548126,65 tỷ,Sổ đỏ,15/10/2025,,,"Nguyễn Văn Huyên, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",300 m2(15x19)
80 m2,22708789,3 tỷ 890 triệu,Sổ đỏ,15/10/2025,2,3,"Trần Quốc Hoàn, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",
320 m2,22557757,25 tỷ 999 triệu,Sổ đỏ,15/10/2025,4,4,"Nguyễn Văn Ngọc, Phường Cống Vị, Quận Ba Đình, Hà Nội",86 m2(14x20)
